Timestamp,Question:,Option A,Option B,Option C,Option D,Correct answer
11/11/2024 11:18:42,Jaký máme rok?,1876,2014,2023,2024,D
11/11/2024 11:19:23,Kdo jako první vyřešil Basilejský problém?,Jacob Bernoulli,Leonard Euler,Karl Weierstrass, Joseph-Louis Lagrange,B
11/11/2024 11:19:26,Který z následujících kontinentů je největší podle rozlohy?,Afrika,Evropa,Austrálie,Asie,D
11/11/2024 11:19:41,Jaký je nejstarší ze starověkých 7 divů světa? ,Pyramidy v Gize,Diova socha v Olympii,Rhodsky kolos,Visuté zahrady Semiramidiny,A
11/11/2024 11:19:48,Ve kterém roce začala druhá světová válka?,1839,1939,1945,1968,B
11/11/2024 11:20:11,Která z následujících planet je nejblíže Slunci?,Země,Venuše,Merkur,Mars,C
11/11/2024 11:20:37,Kolika let se dožil Bedřich Smetana?,60,84,69,47,A
11/11/2024 11:20:38,Který muž vyhrál nejvíce tenisových Grandslamových titulů?,Roger Federer,Rafael Nadal,Novak Djokovic,Pete Sampras,C
11/11/2024 11:21:00,"Jaká je nejvyšší hora Dolomit, což je pohoří v severní Itálii? ",Ortler,Mont Blanc,Marmeláda,Marmolada,D
11/11/2024 11:21:04,Kolik je v České republice národních parků?,2,3,4,5,C
11/11/2024 11:21:04,Které slovo se člověk naučí používat nejdříve (věk osvojení)?,falsum,průzor,instrumentální,autíčko,D
11/11/2024 11:21:07,Která barva se nachází na horním pruhu české vlajky?,Zelená,Modrá,Bílá,Červená,C
11/11/2024 11:21:17,Kolik nohou má pes?,1,3,4,6,C
11/11/2024 11:21:57,"Který český skladatel je autorem opery ""Prodaná nevěsta""?",Antonín Dvořák,Leoš Janáček,Bedřich Smetana,Bohuslav Martinů,C
11/11/2024 11:22:00,Ve kterém roce proběhla bitva na Bílé hoře?,1212,1789,1918,1620,D
11/11/2024 11:22:23,Kolik přibližně váží Slunce,2 x 10^30 kg,3 x 10^27 kg,10^40 kg,10^100 mg,A
11/11/2024 11:22:29,Která z následujících zemí používá metrický systém?,USA,Libérie,Spojené království Velké Británie a Severního Irska,Myanmar,C
11/11/2024 11:22:46,Ve kterém roce padla Bastila?,1212,1620,1789,1995,C
11/11/2024 11:23:05,Který fotbalista získal cenu pro nejlepšího střelce mistroství evropy 2004?,Wayne Rooney,Milan Baroš,Ruud van Nistelrooy,Zlatan Ibrahimović,B
11/11/2024 11:23:33,Jak zní skautský příkaz?,Pamatuj!,Buď připraven*a!,"Buď lepší dnes, než včera!",Buď odvážný!,B
11/11/2024 11:23:34,Co je větší slon nebo pes? ,Slon ,Pes ,Oba jsou stejně velcí,Nelze porovnat ,A
11/11/2024 11:23:56,"Pokud fotografujete za špatných světelných podmínek bez stativu a chcete udržet obraz ostrý, jaký postup je nejlepší?",Zvýšit hodnotu ISO a zkrátit expoziční čas,Zvýšit hodnotu ISO a snížit clonu na f/16,Snížit hodnotu ISO a zkrátit expoziční čas,Snížit hodnotu ISO a zvýšit clonu na f/22,A
11/11/2024 11:24:13,Kto vyhral zlatú loptu v roku 2020?,Robert Lewandowski,Lionel Messi,Kylian Mbappe,Nikto,D
,Kolik je jedna a jedna?,Osm,Jedna,Dva,Nula,C
,Jaké barvy má česká vlajka?,"zelenou, červenou, bílou","modrou, červenou, bílou","žlutou, zelenou","červenou, bílou",B
,Jaké je nejvyšší dvouciferné prvočíslo?,11,2,97,37,C
,Proč je obloha modrá?,Permoníci kouřili dostatek síry a tak zmodrala.,"Není modrá, ale fialová.",Protože je tam spoustu metanu.,Kvůli rozptylu světla.,D
,Jaká je nejvyšší hor Čech a Moravy?,Praděd,Sněžka,Gerlachovský štít,Lysá Hora,B
,"Tomáš má tri sestry a žiadnych bratov, no každá z jeho sestier má jedného brata. Koľko je súrodencov dokopy?",3,4,1,9,B
,"Ako pokračuje riekanka, ktorá sa začína slovami ""Aka fuka""?",lunda muka,funda luka,kuka puka,nuka huka,B
,"Pokud vlastním deset aut a se třemi se projedu, kolik budu mít aut?",sedm,tři,deset,0,C
,Jaká je nejvyšší hor Čech a Moravy?,Kutná hora,Snežka,Plechý,Říp,B
,Jaký je hlavní město Španělska?,Praha,Barcelona,Madrid,London,C
,"Keď máme desať jabĺčok a dve zjeme, štyri zahodíme, dve kúpime a jedno stratíme. Potom kúpime aj jednu mrkvu. Koľko mrkiev máme?",5,1,4,6,B
,Co se stane s vránou pokud liška běží k táboru?,Nic,Bude hladovět,Poletí za liškou,Zakráká,A
,Aká rieka tečie cez hlavné mesto Slovenska?,Orava,Dunaj,Váh,Nitra,B
,Jaké je druhé největší město Česka?,Praha,Brno,Ostrava,Karviná,B
,Koľko nôh má kôň?,1,8,3,4,D
,Jaký je chemický symbol pro vodu? ,WA,NO,O2,H2O,D
,Kdo převedl židy přes červené moře?,Lojza Novák z Nemanic.,"Samozřejmě Jára Cimrman, ale přivlastnil si to Mojžíš.",Mojžíš.,Svatá Marie.,C
,"Mám tři jablka, ze dvou udělám štrůdl a jedno další koupím. Kolik budu mít jablek?",pět,čtyři,jedno,dvě,D
,"Koľko trojciferných čísel vieme vytvoriť z číslic 1,2,3,4 pričom číslice sa nemôžu opakovať?",4,12,24,64,D
,V ktorom meste sa narodil Stephen Hawking?,Londýn,Oxford,Brighton,Edinburgh,B
,Aká je hodnota X pre rovnicu X=3×(2+2),4,6,12,9,C
,Kto je prezidentom Slovenskej republiky?,Stefan Harabin,Zuzana Caputova,Peter Pellegrini,Robert Fico,B
,Mám 12 aut. Během dne jsem se projel ve 3 z nich. Kolik mám aut?,6,0,9,12,D
,"Jak se jmenoval kazatel, který byl upálen na koncilu v Kostnici?",Jan Hus,Jan Nepomuk,Jan Žižka,Jan Želivský,A
,Ako sa volá hlavné mesto Slovenska?,Hlavné mesto Slovenska sa volá Bratislava.,Hlavné mesto Slovenska sa volá Praha.,Hlavné mesto Slovenska sa volá Viedeň.,Hlavné mesto Slovenska sa volá Trnava.,A
,Jakou barvu ma obvykle voda v rybnice?,modrou,zlutou,zelenou,cervenou,C
,Jaké jsou hlavní postavy pohádky o červené karkulce?,Ovce a Beran,Vlk a červená liška,Červená karkulka a Vlk,Červený mravenec a slon,C
,Proč je obloha modrá?,Obloha modrá není,Obloha je modrá díky vysokému obsahu dusíku v atmosféře,"Obloha je modrá, kvůli toho v jakém spektru vyzařuje Slunce",Nesmyslná otázka,B
,Jaká je hlavní složka DNA,Ribonukleová kyselina,Deoxyribonukleová kyselina,Aminokyseliny,Cukry,B
,Jaké dvě města hostí hokejové mistrovství světa v roce 2024,Praha a Brno,Moskva a Petrohrad,Praha a Ostrava,Paříž a Londýn,C
,Ktorá z uvedených zelenín je oranžovej farby ?,Paradajka,Mrkva,Paprika ,Cibuľa,B
,"Vlastním auto červené barvy. Dneska okolo mě projel soused s autem modré barvy, které si koupil poté, co rozbil své minulé auto oranžové barvy. Jaké barvy má nyní soused auto?",červené,oranžové,modré,bílé,C
,Ktorý dravý vták dosahuje najvyššiu rýchlosť?,Orol skalný,Sokol sťahovavý,Jastrab veľký,Kaňa sivá,B
,Kto bol Juraj Jánošík?,Člen slevenského parlementu za stranu HDZS od roku 1992 do roku 1996.,Veliteľ slovenskej partizánskej jednotky pôsobiacej v okolí Banskej Bystrice počas druhej svetovej vojny.,"Slovenský lapač zbojníkov, ktorý sa živil chytaním známych zbojníkov",ZNámy slovenský zbojník,D
,Jakou barvu má obvykle žloutek,Bílou,"Oranžovou, Žlutou",Hnědou,Zelenou,B
,Ako dopadol Korčok v posledných voľbách,Nie dobre. Prehral.,Korčok prehral s rozdielom niekoľko tisíc hlasov v posledných preziedentských voľbách na Slovensku.,Korčol bol kandidátom v posledných prezidentských voľbách na Slovensku. V týchto voľbách bol výťazom.,Korčok je ryba slanej chuti. Korčok žije v mielčinách severného mora. Chutia mu chobotnice a ľudia.,B
,Který orgán je odpovědný za vylučování moči?,Srdce,Plíce,Ledviny,Mozek,C
,Kam mohu zajít abych se povozil na jednorožci?,"Bohužel jednorožec je mytické zvíře, které se v naší realitě nevyskytuje.",Jednorožec je člověk co se praští o roh stolu. Takového člověka si osedláš nejlépe doma.,"Jednorožce můžeš osedlat na pouti, kde ti ho připraví hejno trpaslíků.",Jednorožce můžeš najít v autosalonu.,A
,Kdo je Gandalf?,Gandalf je čaroděj z knižní trilogie Pán prstenů,Gandalf (potato) má tmavě zelenou nebo hnědo-zelenou barvu,"Dobrý den, jak Vám mohu pomoci?","Omlouvám se, nemám přístup k nejnovějším datům a proto na Vaši otázku nedokáži odpovědět",A
,"Vypočítaj, koľko % je 5 z 50.",9,5,10,1,C
,Jaké státy sousedí s ČR?,"Německo, Polsko, Slovensko, Ukrajina","Maďarsko, Německo, Černá Hora","Německo, Polsko, Slovensko, Rakousko","Rakousko, Polsko, Slovinsko, Neměcko",C
,Aké je hlavné mesto Slovenska ?,Bratislava ,Brno,Košice ,Poprad,A
,Akej farby su klavesy na klaviri?,cierna a biela,modra a zlta,cervena a cierna,biela a modra,A
,Jaký prvek popisuje chemická značka H2O?,Kyselinu sýrovou,Vodu,Metan,Peroxid vodíka,B
,Koľko životov má podľa známeho príslovia mačka?,4,6,9,12,C
,Jaká je přibližná genetická podobnost prasete s člověkem podle ChatGPT 3.5?,cca 35 %,cca 50 %,cca 90 %,Záleží na člověku...,C
,Aký je mužský rod od slova letuška?,letušiak,letec,steward,stevard,D
